"","Treatment","Concentration_uM","plate","Rep1_tot","Rep2_tot","Rep3_tot","OR","Rep1","Rep2","Rep3","rep1_freq","rep2_freq","rep3_freq","freq_ave","freq_sd","DMSO_ave","DMSO_sd","DMSO_Normed","overall_sd","Odorant","CAS"
"16","DMSO",-999,"2-11",156373,101679,93324,"9_1",2073,1064,1842,0.0132567642751626,0.0104643043302944,0.0197376880545197,0.0144862522199922,0.00475737762628143,0.0144862522199922,0.00475737762628143,1,0.464436754120047,"DMSO",NA
"17","DMSO",-999,"2-12",158871,155880,68225,"9_1",1912,916,1573,0.0120349214142292,0.0058763151141904,0.0230560644924881,0.0136557670069692,0.00870380965450811,0.0136557670069692,0.00870380965450811,1,0.901380761068737,"DMSO",NA
"18","DMSO",-999,"2-13",85453,113405,52133,"9_1",2249,1316,659,0.02631856108036,0.0116044266125832,0.0126407457848196,0.0168545778259209,0.0082124127780399,0.0168545778259209,0.0082124127780399,1,0.689077213945318,"DMSO",NA
"19","DMSO",-999,"2-2",100215,92258,87458,"9_1",1266,1649,1172,0.0126328393953001,0.0178737887229292,0.013400718058954,0.0146357820590611,0.00283035771183861,0.0146357820590611,0.00283035771183861,1,0.273489332260952,"DMSO",NA
"20","DMSO",-999,"2-3",129226,72921,35994,"9_1",1528,963,575,0.011824245894789,0.0132060723248447,0.0159748847030061,0.0136684009742132,0.00211358971044279,0.0136684009742132,0.00211358971044279,1,0.218684485437586,"DMSO",NA
"21","DMSO",-999,"2-4",143029,56247,162,"9_1",3306,611,0,0.023114193625069,0.0108628015716394,0,0.0113256650655695,0.0115640463806924,0.0113256650655695,0.0115640463806924,1,1.44397976920611,"DMSO",NA
"22","DMSO",-999,"2-5",150886,123561,85528,"9_1",1432,1927,946,0.00949060880399772,0.0155955358082243,0.0110607052661117,0.0120489499594446,0.00317017414539945,0.0120489499594446,0.00317017414539945,1,0.37209078688174,"DMSO",NA
"23","DMSO",-999,"2-6",83055,54989,22321,"9_1",2345,818,253,0.0282343025705858,0.0148757024132099,0.0113346176246584,0.0181482075361514,0.00891245225247572,0.0181482075361514,0.00891245225247572,1,0.694509957765599,"DMSO",NA
"24","DMSO",-999,"2-7",89241,70822,42522,"9_1",1056,725,426,0.0118331260295156,0.0102369320267713,0.0100183434457457,0.0106961338340109,0.000990711199804282,0.0106961338340109,0.000990711199804282,1,0.13098912531396,"DMSO",NA
"25","DMSO",-999,"2-8",226016,162135,128218,"9_1",1823,3181,1453,0.00806580065128133,0.0196194529250316,0.011332262240871,0.013005838605728,0.00595586799739884,0.013005838605728,0.00595586799739884,1,0.647622160551474,"DMSO",NA
"26","DMSO",-999,"2-9",241969,122267,35390,"9_1",2638,2542,815,0.0109022230120387,0.0207905649112189,0.023029104266742,0.0182406307299999,0.00645305629045883,0.0182406307299999,0.00645305629045883,1,0.500311631752657,"DMSO",NA
"27","DMSO",-999,"2-1",142476,101748,90028,"8_1",864,1630,1029,0.00606417923018614,0.0160199709085191,0.0114297774025859,0.0111713091804304,0.00498292598299323,0.0111713091804304,0.00498292598299323,1,0.630805341758417,"DMSO",NA
"28","DMSO",-999,"2-10",202659,124499,119889,"8_1",1766,512,1078,0.00871414543642276,0.0041124828311874,0.00899165061014772,0.00727275962591929,0.00274039492497919,0.00727275962591929,0.00274039492497919,1,0.532879383962054,"DMSO",NA
"29","DMSO",-999,"2-11",156373,101679,93324,"8_1",1250,708,1173,0.00799370735357127,0.00696308972354173,0.0125691140542626,0.00917530371045852,0.00298395788544601,0.00917530371045852,0.00298395788544601,1,0.459925234555206,"DMSO",NA
"30","DMSO",-999,"2-12",158871,155880,68225,"8_1",1120,959,460,0.00704974476147315,0.00615216833461637,0.00674239648222792,0.00664810319277248,0.00045615707693676,0.00664810319277248,0.00045615707693676,1,0.0970357267434959,"DMSO",NA
"31","DMSO",-999,"2-13",85453,113405,52133,"8_1",694,2169,224,0.00812142347255216,0.019126140822715,0.00429670266433929,0.0105147556532022,0.00769896669810137,0.0105147556532022,0.00769896669810137,1,1.0354955911313,"DMSO",NA
"32","DMSO",-999,"2-2",100215,92258,87458,"8_1",490,1271,1289,0.00488948760165644,0.0137765830605476,0.014738503052894,0.0111348579050327,0.00542999172997889,0.0111348579050327,0.00542999172997889,1,0.689651184918948,"DMSO",NA
"33","DMSO",-999,"2-3",129226,72921,35994,"8_1",862,963,550,0.00667048426787179,0.0132060723248447,0.0152803244985275,0.011718960363748,0.00449343562188023,0.011718960363748,0.00449343562188023,1,0.54225608764505,"DMSO",NA
"34","DMSO",-999,"2-4",143029,56247,162,"8_1",786,603,1,0.00549538904697649,0.0107205717638274,0.00617283950617284,0.00746293343899224,0.00284145919779652,0.00746293343899224,0.00284145919779652,1,0.538451825586193,"DMSO",NA
"35","DMSO",-999,"2-5",150886,123561,85528,"8_1",1247,2996,942,0.00826451758281086,0.0242471329950389,0.0110139369563184,0.0145085291780561,0.00854518168039564,0.0145085291780561,0.00854518168039564,1,0.83293845137904,"DMSO",NA
"36","DMSO",-999,"2-6",83055,54989,22321,"8_1",547,679,345,0.00658599723075071,0.0123479241302806,0.0154562967608978,0.011463406040643,0.00450081466256988,0.011463406040643,0.00450081466256988,1,0.555254966540203,"DMSO",NA
"37","DMSO",-999,"2-7",89241,70822,42522,"8_1",341,883,461,0.00382111361369774,0.0124678772132953,0.0108414467804901,0.00904347920249438,0.00459523076085132,0.00904347920249438,0.00459523076085132,1,0.718599282280376,"DMSO",NA
"38","DMSO",-999,"2-8",226016,162135,128218,"8_1",1453,1601,1058,0.00642874840719241,0.00987448730995775,0.00825157154221716,0.00818493575312244,0.00172383566293276,0.00818493575312244,0.00172383566293276,1,0.29784861449791,"DMSO",NA
"39","DMSO",-999,"2-9",241969,122267,35390,"8_1",2365,762,227,0.00977397931139939,0.0062322621803103,0.00641424131110483,0.00747349426760484,0.00199435520370695,0.00747349426760484,0.00199435520370695,1,0.377392967235879,"DMSO",NA
