"","Treatment","Concentration_uM","plate","Rep1_tot","Rep2_tot","OR","Rep1","Rep2","rep1_freq","rep2_freq","freq_ave","DMSO_ave","DMSO_sd","DMSO_Normed","Odorant","CAS"
"1","Control_1",10,"2-1",186968,131823,"30_1",1325,1017,0.00708677420735099,0.00771489042124667,0.00740083231429883,0.0202433172008184,0.00941477920156107,0.36559385207873,"Control_1",NA
"2","Control_1",10,"2-10",138491,120780,"30_1",2597,1319,0.0187521210764598,0.0109206822321576,0.0148364016543087,0.0128091359007378,0.00425421765921338,1.15826717502889,"Control_1",NA
"3","Control_1",10,"2-11",79943,210655,"30_1",917,5963,0.0114706728544088,0.0283069473784149,0.0198888101164119,0.0126149415223709,0.00394131258245977,1.57660739696191,"Control_1",NA
"4","Control_1",10,"2-12",149347,130162,"30_1",2130,2861,0.0142620876214454,0.0219803014704753,0.0181211945459603,0.0130322339845999,0.00466351813751425,1.39049026954044,"Control_1",NA
"5","Control_1",10,"2-13",171636,81761,"30_1",2532,1303,0.0147521498986227,0.0159366935335918,0.0153444217161072,0.0177817742814502,0.00691298145472792,0.862929732052355,"Control_1",NA
"6","Control_1",10,"2-2",128599,128944,"30_1",2275,2015,0.0176906507826655,0.0156269388261571,0.0166587948044113,0.0146714627216553,0.00510824710237837,1.13545562023769,"Control_1",NA
"7","Control_1",10,"2-3",59534,15921,"30_1",1263,394,0.021214768031713,0.0247471892469066,0.0229809786393098,0.0167900126896238,0.0113849356570417,1.36872908103947,"Control_1",NA
"8","Control_1",10,"2-4",135197,175833,"30_1",1968,2311,0.014556536017811,0.0131431528780149,0.013849844447913,0.00590185013384771,0.00521044557006754,2.34669538090822,"Control_1",NA
"9","Control_1",10,"2-5",118385,60198,"30_1",1812,662,0.015305993157917,0.0109970430911326,0.0131515181245248,0.0182327587147551,0.00643828604574855,0.721312574266764,"Control_1",NA
"10","Control_1",10,"2-6",118555,139306,"30_1",1081,3626,0.00911813082535532,0.0260290296182505,0.0175735802218029,0.0188662786438178,0.00751085112535951,0.931481006592762,"Control_1",NA
"11","Control_1",10,"2-7",81597,43881,"30_1",2528,445,0.0309815311837445,0.0101410633303708,0.0205612972570576,0.0148273435928082,0.00263171824556297,1.38671483049942,"Control_1",NA
"12","Control_1",10,"2-8",108278,165004,"30_1",1444,1264,0.0133360424093537,0.00766042035344598,0.0104982313813998,0.0114934878305952,0.00285797149579679,0.913406925394223,"Control_1",NA
"13","Control_1",10,"2-9",102492,91955,"30_1",1666,1776,0.0162549272138313,0.0193137947909303,0.0177843610023808,0.0133087696501264,0.00455237826634361,1.33628888844822,"Control_1",NA
"14","Control_1",100,"2-1",140218,136666,"30_1",1905,4244,0.0135859875336975,0.0310538100185855,0.0223198987761415,0.0202433172008184,0.00941477920156107,1.10258109156335,"Control_1",NA
"15","Control_1",100,"2-10",136286,121791,"30_1",6902,1039,0.0506434996991621,0.0085310080383608,0.0295872538687614,0.0128091359007378,0.00425421765921338,2.30985556699864,"Control_1",NA
"16","Control_1",100,"2-11",96265,172128,"30_1",1928,3481,0.020028047577001,0.0202233221788437,0.0201256848779223,0.0126149415223709,0.00394131258245977,1.59538471440649,"Control_1",NA
"17","Control_1",100,"2-12",143997,104307,"30_1",3057,2066,0.0212296089501865,0.0198069161225996,0.020518262536393,0.0130322339845999,0.00466351813751425,1.57442404430732,"Control_1",NA
"18","Control_1",100,"2-13",175621,74815,"30_1",2398,1037,0.0136544035166637,0.0138608567800575,0.0137576301483606,0.0177817742814502,0.00691298145472792,0.77369276713362,"Control_1",NA
"19","Control_1",100,"2-2",108542,120226,"30_1",4209,1354,0.0387776160380314,0.0112621230016802,0.0250198695198558,0.0146714627216553,0.00510824710237837,1.70534254113096,"Control_1",NA
"20","Control_1",100,"2-3",33112,7105,"30_1",263,180,0.00794273979222034,0.0253342716396904,0.0166385057159554,0.0167900126896238,0.0113849356570417,0.990976363361411,"Control_1",NA
"21","Control_1",100,"2-4",103420,155024,"30_1",1156,2470,0.0111777219106556,0.0159330168232016,0.0135553693669286,0.00590185013384771,0.00521044557006754,2.29679999652772,"Control_1",NA
"22","Control_1",100,"2-5",147006,34727,"30_1",1639,694,0.0111492047943621,0.0199844501396608,0.0155668274670115,0.0182327587147551,0.00643828604574855,0.853783440594417,"Control_1",NA
"23","Control_1",100,"2-6",81053,158327,"30_1",1382,2179,0.01705057184805,0.0137626557693887,0.0154066138087194,0.0188662786438178,0.00751085112535951,0.816621767312225,"Control_1",NA
"24","Control_1",100,"2-7",105810,57486,"30_1",1528,747,0.0144409791135053,0.0129944682183488,0.0137177236659271,0.0148273435928082,0.00263171824556297,0.925163943228553,"Control_1",NA
"25","Control_1",100,"2-8",92256,56230,"30_1",943,393,0.0102215574054804,0.00698915169838165,0.00860535455193102,0.0114934878305952,0.00285797149579679,0.748715679588919,"Control_1",NA
"26","Control_1",100,"2-9",76765,71794,"30_1",434,932,0.00565361818537094,0.0129815862049753,0.00931760219517314,0.0133087696501264,0.00455237826634361,0.70010996058412,"Control_1",NA
"27","Control_1",1000,"2-1",178755,128380,"30_1",1310,1481,0.00732846633660597,0.0115360648076024,0.0094322655721042,0.0202433172008184,0.00941477920156107,0.465944661071796,"Control_1",NA
"28","Control_1",1000,"2-10",122283,106158,"30_1",1427,1136,0.0116696515460039,0.0107010305393847,0.0111853410426943,0.0128091359007378,0.00425421765921338,0.873231506744339,"Control_1",NA
"29","Control_1",1000,"2-11",83781,203817,"30_1",894,3205,0.0106706771224979,0.0157248904654666,0.0131977837939823,0.0126149415223709,0.00394131258245977,1.04620253455617,"Control_1",NA
"30","Control_1",1000,"2-12",111263,78281,"30_1",1493,851,0.0134186566962962,0.0108710926022917,0.012144874649294,0.0130322339845999,0.00466351813751425,0.931910420243029,"Control_1",NA
"31","Control_1",1000,"2-13",140762,35133,"30_1",1242,392,0.00882340404370498,0.0111576011157601,0.00999050257973255,0.0177817742814502,0.00691298145472792,0.561839466726027,"Control_1",NA
"32","Control_1",1000,"2-2",43,134901,"30_1",0,2942,0,0.0218085855553332,0.0109042927776666,0.0146714627216553,0.00510824710237837,0.74323146809157,"Control_1",NA
