row,col,plate,Treatment,Concentration_uM,Replicate
D,8,2-7,67,100,Rep1
D,9,2-7,67,1000,Rep1
D,10,2-7,Control_1,10,Rep1
D,11,2-7,Control_1,100,Rep1
D,12,2-7,Control_1,1000,Rep1
E,1,2-7,65,10,Rep2
E,2,2-7,65,100,Rep2
E,3,2-7,65,1000,Rep2
E,4,2-7,66,10,Rep2
E,5,2-7,66,100,Rep2
E,6,2-7,66,1000,Rep2
E,7,2-7,67,10,Rep2
E,8,2-7,67,100,Rep2
E,9,2-7,67,1000,Rep2
E,10,2-7,Control_1,10,Rep2
E,11,2-7,Control_1,100,Rep2
E,12,2-7,Control_1,1000,Rep2
F,1,2-7,65,10,Rep3
F,2,2-7,65,100,Rep3
F,3,2-7,65,1000,Rep3
F,4,2-7,66,10,Rep3
F,5,2-7,66,100,Rep3
F,6,2-7,66,1000,Rep3
F,7,2-7,67,10,Rep3
F,8,2-7,67,100,Rep3
F,9,2-7,67,1000,Rep3
F,10,2-7,Control_2,10,Rep1
F,11,2-7,Control_2,100,Rep1
F,12,2-7,Control_2,1000,Rep1
G,1,2-7,69,10,Rep1
G,2,2-7,69,100,Rep1
G,3,2-7,69,1000,Rep1
G,4,2-7,69,10,Rep2
G,5,2-7,69,100,Rep2
G,6,2-7,69,1000,Rep2
G,7,2-7,70,10,Rep1
G,8,2-7,70,100,Rep1
G,9,2-7,70,1000,Rep1
G,10,2-7,Control_2,10,Rep2
G,11,2-7,Control_2,100,Rep2
G,12,2-7,Control_2,1000,Rep2
H,1,2-7,69,10,Rep3
H,2,2-7,69,100,Rep3
H,3,2-7,69,1000,Rep3
H,4,2-7,70,10,Rep2
H,5,2-7,70,100,Rep2
H,6,2-7,70,1000,Rep2
H,7,2-7,70,10,Rep3
H,8,2-7,70,100,Rep3
H,9,2-7,70,1000,Rep3
H,10,2-7,DMSO,-999,Rep1
H,11,2-7,DMSO,-999,Rep2
H,12,2-7,DMSO,-999,Rep3
A,1,2-8,71,10,Rep1
A,2,2-8,71,100,Rep1
A,3,2-8,71,1000,Rep1
A,4,2-8,72,10,Rep1
A,5,2-8,72,100,Rep1
A,6,2-8,72,1000,Rep1
A,7,2-8,73,10,Rep1
A,8,2-8,73,100,Rep1
A,9,2-8,73,1000,Rep1
A,10,2-8,74,10,Rep1
A,11,2-8,74,100,Rep1
A,12,2-8,74,1000,Rep1
B,1,2-8,71,10,Rep2
B,2,2-8,71,100,Rep2
B,3,2-8,71,1000,Rep2
B,4,2-8,72,10,Rep2
B,5,2-8,72,100,Rep2
B,6,2-8,72,1000,Rep2
B,7,2-8,73,10,Rep2
B,8,2-8,73,100,Rep2
B,9,2-8,73,1000,Rep2
B,10,2-8,74,10,Rep2
B,11,2-8,74,100,Rep2
B,12,2-8,74,1000,Rep2
C,1,2-8,71,10,Rep3
C,2,2-8,71,100,Rep3
C,3,2-8,71,1000,Rep3
C,4,2-8,72,10,Rep3
C,5,2-8,72,100,Rep3
C,6,2-8,72,1000,Rep3
C,7,2-8,73,10,Rep3
C,8,2-8,73,100,Rep3
C,9,2-8,73,1000,Rep3
C,10,2-8,74,10,Rep3
C,11,2-8,74,100,Rep3
C,12,2-8,74,1000,Rep3
D,1,2-8,75,10,Rep1
D,2,2-8,75,100,Rep1
D,3,2-8,75,1000,Rep1
D,4,2-8,76,10,Rep1
D,5,2-8,76,100,Rep1
D,6,2-8,76,1000,Rep1
D,7,2-8,77,10,Rep1
D,8,2-8,77,100,Rep1
D,9,2-8,77,1000,Rep1
D,10,2-8,Control_1,10,Rep1
D,11,2-8,Control_1,100,Rep1
D,12,2-8,Control_1,1000,Rep1
E,1,2-8,75,10,Rep2
E,2,2-8,75,100,Rep2
E,3,2-8,75,1000,Rep2
E,4,2-8,76,10,Rep2
E,5,2-8,76,100,Rep2
E,6,2-8,76,1000,Rep2
E,7,2-8,77,10,Rep2
E,8,2-8,77,100,Rep2
E,9,2-8,77,1000,Rep2
E,10,2-8,Control_1,10,Rep2
E,11,2-8,Control_1,100,Rep2
E,12,2-8,Control_1,1000,Rep2
F,1,2-8,75,10,Rep3
F,2,2-8,75,100,Rep3
F,3,2-8,75,1000,Rep3
F,4,2-8,76,10,Rep3
F,5,2-8,76,100,Rep3
F,6,2-8,76,1000,Rep3
F,7,2-8,77,10,Rep3
F,8,2-8,77,100,Rep3
F,9,2-8,77,1000,Rep3
F,10,2-8,Control_2,10,Rep1
F,11,2-8,Control_2,100,Rep1
F,12,2-8,Control_2,1000,Rep1
G,1,2-8,79,10,Rep1
G,2,2-8,79,100,Rep1
G,3,2-8,79,1000,Rep1
G,4,2-8,79,10,Rep2
G,5,2-8,79,100,Rep2
G,6,2-8,79,1000,Rep2
G,7,2-8,80,10,Rep1
G,8,2-8,80,100,Rep1
G,9,2-8,80,1000,Rep1
G,10,2-8,Control_2,10,Rep2
G,11,2-8,Control_2,100,Rep2
G,12,2-8,Control_2,1000,Rep2
H,1,2-8,79,10,Rep3
H,2,2-8,79,100,Rep3
H,3,2-8,79,1000,Rep3
H,4,2-8,80,10,Rep2
H,5,2-8,80,100,Rep2
H,6,2-8,80,1000,Rep2
H,7,2-8,80,10,Rep3
H,8,2-8,80,100,Rep3
H,9,2-8,80,1000,Rep3
H,10,2-8,DMSO,-999,Rep1
H,11,2-8,DMSO,-999,Rep2
H,12,2-8,DMSO,-999,Rep3
A,1,2-9,81,10,Rep1
A,2,2-9,81,100,Rep1
A,3,2-9,81,1000,Rep1
A,4,2-9,82,10,Rep1
A,5,2-9,82,100,Rep1
A,6,2-9,82,1000,Rep1
A,7,2-9,84,10,Rep1
A,8,2-9,84,100,Rep1
A,9,2-9,84,1000,Rep1
A,10,2-9,85,10,Rep1
A,11,2-9,85,100,Rep1
A,12,2-9,85,1000,Rep1
