Odorant,Concentration_uM,plate,Counts,OR,Replicate
Pentanoic Acid,10,1,114,30_1,Rep1
Pentanoic Acid,100,1,196,30_1,Rep1
Pentanoic Acid,1000,1,490,30_1,Rep1
4-hydroxycoumarin,10,1,796,30_1,Rep1
4-hydroxycoumarin,100,1,1466,30_1,Rep1
4-hydroxycoumarin,1000,1,2323,30_1,Rep1
4-Chromanone,10,7,231,30_1,Rep1
4-Chromanone,100,7,561,30_1,Rep1
4-Chromanone,1000,7,695,30_1,Rep1
2-Butanone,10,1,1624,30_1,Rep1
2-Butanone,100,1,1919,30_1,Rep1
2-Butanone,1000,1,2311,30_1,Rep1
2-Hexanone,10,1,4158,30_1,Rep1
2-Hexanone,100,1,1109,30_1,Rep1
2-Hexanone,1000,1,2861,30_1,Rep1
2-Heptanone,10,2,1172,30_1,Rep1
2-Heptanone,100,2,1104,30_1,Rep1
2-Heptanone,1000,2,644,30_1,Rep1
3-Heptanone,10,2,414,30_1,Rep1
3-Heptanone,100,2,1153,30_1,Rep1
3-Heptanone,1000,2,3269,30_1,Rep1
2-Octanone,10,2,943,30_1,Rep1
2-Octanone,100,2,837,30_1,Rep1
2-Octanone,1000,2,514,30_1,Rep1
3-Octanone,10,2,1623,30_1,Rep1
3-Octanone,100,2,792,30_1,Rep1
3-Octanone,1000,2,905,30_1,Rep1
Propionic Acid,10,1,141,30_1,Rep1
Propionic Acid,100,1,658,30_1,Rep1
Propionic Acid,1000,1,1214,30_1,Rep1
2_coumaranone,10,8,1578,30_1,Rep1
2_coumaranone,100,8,1031,30_1,Rep1
2_coumaranone,1000,8,1918,30_1,Rep1
2-Nonanone,10,2,470,30_1,Rep1
2-Nonanone,100,2,1003,30_1,Rep1
2-Nonanone,1000,2,1420,30_1,Rep1
"2,3-Hexanedione",10,2,1784,30_1,Rep1
"2,3-Hexanedione",100,2,1686,30_1,Rep1
"2,3-Hexanedione",1000,2,1779,30_1,Rep1
"3,4-Hexanedione",10,2,2307,30_1,Rep1
"3,4-Hexanedione",100,2,1191,30_1,Rep1
"3,4-Hexanedione",1000,2,1790,30_1,Rep1
(-)-Carvone,10,7,844,30_1,Rep1
(-)-Carvone,100,7,557,30_1,Rep1
(-)-Carvone,1000,7,829,30_1,Rep1
(+)-Dihydrocarvone,10,2,2444,30_1,Rep1
(+)-Dihydrocarvone,100,2,1990,30_1,Rep1
(+)-Dihydrocarvone,1000,2,3749,30_1,Rep1
(+)-Camphor,10,2,1735,30_1,Rep1
(+)-Camphor,100,2,2380,30_1,Rep1
(+)-Camphor,1000,2,4491,30_1,Rep1
Dihydrojasmone,10,3,1939,30_1,Rep1
Dihydrojasmone,100,3,764,30_1,Rep1
Dihydrojasmone,1000,3,1166,30_1,Rep1
Benzophenone,10,3,1405,30_1,Rep1
Benzophenone,100,3,2864,30_1,Rep1
Benzophenone,1000,3,1575,30_1,Rep1
(+)-Pulegone,10,3,1338,30_1,Rep1
(+)-Pulegone,100,3,80,30_1,Rep1
(+)-Pulegone,1000,3,266,30_1,Rep1
Hexanoic Acid,10,1,1060,30_1,Rep1
Hexanoic Acid,100,1,198,30_1,Rep1
Hexanoic Acid,1000,1,2062,30_1,Rep1
Dimedone,10,3,1040,30_1,Rep1
Dimedone,100,3,623,30_1,Rep1
Dimedone,1000,3,774,30_1,Rep1
(-)-Menthone,10,3,1995,30_1,Rep1
(-)-Menthone,100,3,4366,30_1,Rep1
(-)-Menthone,1000,3,1018,30_1,Rep1
beta-ionone,10,3,1399,30_1,Rep1
beta-ionone,100,3,3192,30_1,Rep1
beta-ionone,1000,3,2532,30_1,Rep1
Pentyl acetate,10,3,2177,30_1,Rep1
Pentyl acetate,100,3,2904,30_1,Rep1
Pentyl acetate,1000,3,2460,30_1,Rep1
Allyl heptanoate,10,7,781,30_1,Rep1
Allyl heptanoate,100,7,997,30_1,Rep1
Allyl heptanoate,1000,7,620,30_1,Rep1
Amyl hexanoate,10,3,2285,30_1,Rep1
Amyl hexanoate,100,3,3105,30_1,Rep1
Amyl hexanoate,1000,3,3258,30_1,Rep1
Nonanoic Acid,10,1,2017,30_1,Rep1
Nonanoic Acid,100,1,9882,30_1,Rep1
Nonanoic Acid,1000,1,39298,30_1,Rep1
Amyl butyrate,10,3,1741,30_1,Rep1
Amyl butyrate,100,3,2123,30_1,Rep1
Amyl butyrate,1000,3,2475,30_1,Rep1
Butyl heptanoate,10,4,1531,30_1,Rep1
Butyl heptanoate,100,4,930,30_1,Rep1
Butyl heptanoate,1000,4,1053,30_1,Rep1
Heptyl isobutyrate,10,4,805,30_1,Rep1
Heptyl isobutyrate,100,4,840,30_1,Rep1
Heptyl isobutyrate,1000,4,875,30_1,Rep1
Hexyl acetate,10,4,1060,30_1,Rep1
Hexyl acetate,100,4,1050,30_1,Rep1
Hexyl acetate,1000,4,488,30_1,Rep1
Butyl formate,10,4,384,30_1,Rep1
Butyl formate,100,4,509,30_1,Rep1
Butyl formate,1000,4,1619,30_1,Rep1
Ethyl isobutyrate,10,4,406,30_1,Rep1
Ethyl isobutyrate,100,4,809,30_1,Rep1
Ethyl isobutyrate,1000,4,1228,30_1,Rep1
1-butanol,10,4,1193,30_1,Rep1
1-butanol,100,4,1632,30_1,Rep1
1-butanol,1000,4,638,30_1,Rep1
Isovaleric Acid,10,1,1474,30_1,Rep1
Isovaleric Acid,100,1,1138,30_1,Rep1
Isovaleric Acid,1000,1,2952,30_1,Rep1
1-propanol,10,4,751,30_1,Rep1
1-propanol,100,4,1745,30_1,Rep1
1-propanol,1000,4,1371,30_1,Rep1
1-hexanol,10,7,311,30_1,Rep1
1-hexanol,100,7,346,30_1,Rep1
1-hexanol,1000,7,159,30_1,Rep1
1-heptanol,10,4,740,30_1,Rep1
1-heptanol,100,4,1272,30_1,Rep1
1-heptanol,1000,4,1893,30_1,Rep1
1-octanol,10,4,1237,30_1,Rep1
1-octanol,100,4,1945,30_1,Rep1
1-octanol,1000,4,1511,30_1,Rep1
1-nonanol,10,5,226,30_1,Rep1
1-nonanol,100,5,582,30_1,Rep1
1-nonanol,1000,5,908,30_1,Rep1
1-decanol,10,5,741,30_1,Rep1
1-decanol,100,5,1424,30_1,Rep1
1-decanol,1000,5,2805,30_1,Rep1
(+)-2-Heptanol,10,5,713,30_1,Rep1
(+)-2-Heptanol,100,5,788,30_1,Rep1
(+)-2-Heptanol,1000,5,922,30_1,Rep1
(+)-2-Octanol,10,5,694,30_1,Rep1
(+)-2-Octanol,100,5,793,30_1,Rep1
(+)-2-Octanol,1000,5,27,30_1,Rep1
(-)-B-Citronellol,10,5,2047,30_1,Rep1
(-)-B-Citronellol,100,5,3013,30_1,Rep1
(-)-B-Citronellol,1000,5,2788,30_1,Rep1
Geraniol,10,5,2361,30_1,Rep1
Geraniol,100,5,2297,30_1,Rep1
Geraniol,1000,5,2174,30_1,Rep1
Linalool,10,5,3135,30_1,Rep1
Linalool,100,5,3014,30_1,Rep1
Linalool,1000,5,1343,30_1,Rep1
1-Undecanol,10,7,815,30_1,Rep1
1-Undecanol,100,7,5246,30_1,Rep1
1-Undecanol,1000,7,3159,30_1,Rep1
Allyl phenylacetate,10,5,501,30_1,Rep1
Allyl phenylacetate,100,5,1024,30_1,Rep1
Allyl phenylacetate,1000,5,2174,30_1,Rep1
Benzene,10,5,3309,30_1,Rep1
Benzene,100,5,2379,30_1,Rep1
Benzene,1000,5,2702,30_1,Rep1
Benzyl acetate,10,6,1144,30_1,Rep1
Benzyl acetate,100,6,808,30_1,Rep1
Benzyl acetate,1000,6,818,30_1,Rep1
Phenyl acetate,10,6,825,30_1,Rep1
Phenyl acetate,100,6,1279,30_1,Rep1
Phenyl acetate,1000,6,641,30_1,Rep1
Octanethiol,10,6,1194,30_1,Rep1
Octanethiol,100,6,603,30_1,Rep1
Octanethiol,1000,6,1130,30_1,Rep1
Nonanedioic Acid,10,1,1969,30_1,Rep1
Nonanedioic Acid,100,1,2666,30_1,Rep1
Nonanedioic Acid,1000,1,2063,30_1,Rep1
Nonanethiol,10,6,1036,30_1,Rep1
Nonanethiol,100,6,1134,30_1,Rep1
Nonanethiol,1000,6,1166,30_1,Rep1
Butanal,10,6,2064,30_1,Rep1
Butanal,100,6,1153,30_1,Rep1
Butanal,1000,6,1306,30_1,Rep1
Pentanal,10,6,2092,30_1,Rep1
Pentanal,100,6,2417,30_1,Rep1
Pentanal,1000,6,2301,30_1,Rep1
Hexanal,10,6,4856,30_1,Rep1
Hexanal,100,6,2305,30_1,Rep1
Hexanal,1000,6,1425,30_1,Rep1
Heptanal,10,7,1406,30_1,Rep1
Heptanal,100,7,1729,30_1,Rep1
Heptanal,1000,7,2289,30_1,Rep1
Octanal,10,6,2057,30_1,Rep1
Octanal,100,6,1876,30_1,Rep1
Octanal,1000,6,4329,30_1,Rep1
Nonanal,10,6,3418,30_1,Rep1
Nonanal,100,6,3587,30_1,Rep1
Nonanal,1000,6,20102,30_1,Rep1
Decanal,10,7,2318,30_1,Rep1
Decanal,100,7,11564,30_1,Rep1
Decanal,1000,7,22961,30_1,Rep1
Citral,10,7,2038,30_1,Rep1
Citral,100,7,912,30_1,Rep1
Citral,1000,7,4708,30_1,Rep1
Hydroxycitronellal,10,7,2337,30_1,Rep1
Hydroxycitronellal,100,7,1691,30_1,Rep1
Hydroxycitronellal,1000,7,3641,30_1,Rep1
Lyral,10,8,783,30_1,Rep1
Lyral,100,8,1094,30_1,Rep1
Lyral,1000,8,2263,30_1,Rep1
Acetophenone,10,8,1724,30_1,Rep1
Acetophenone,100,8,952,30_1,Rep1
Acetophenone,1000,8,1346,30_1,Rep1
Control_1,10,1,2013,30_1,Rep1
Control_1,10,2,3040,30_1,Rep1
Control_1,10,3,3511,30_1,Rep1
Control_1,10,4,921,30_1,Rep1
Control_1,10,5,1440,30_1,Rep1
Control_1,10,6,1827,30_1,Rep1
Control_1,10,7,781,30_1,Rep1
Control_1,10,8,342,30_1,Rep1
Control_1,100,1,2869,30_1,Rep1
Control_1,100,2,1085,30_1,Rep1
Control_1,100,3,941,30_1,Rep1
Control_1,100,4,1061,30_1,Rep1
Control_1,100,5,3303,30_1,Rep1
Control_1,100,6,1006,30_1,Rep1
Control_1,100,7,1422,30_1,Rep1
Control_1,100,8,46,30_1,Rep1
Control_1,1000,1,492,30_1,Rep1
Control_1,1000,2,315,30_1,Rep1
Control_1,1000,3,251,30_1,Rep1
Control_1,1000,4,373,30_1,Rep1
Control_1,1000,5,641,30_1,Rep1
Control_1,1000,6,789,30_1,Rep1
Control_1,1000,7,196,30_1,Rep1
Control_1,1000,8,144,30_1,Rep1
Control_2,10,1,15478,30_1,Rep1
Control_2,10,2,5647,30_1,Rep1
Control_2,10,3,7274,30_1,Rep1
Control_2,10,4,10696,30_1,Rep1
Control_2,10,5,6311,30_1,Rep1
Control_2,10,6,6120,30_1,Rep1
Control_2,10,7,2903,30_1,Rep1
Control_2,10,8,2688,30_1,Rep1
Control_2,100,1,26294,30_1,Rep1
Control_2,100,2,9770,30_1,Rep1
Control_2,100,3,13215,30_1,Rep1
Control_2,100,4,9586,30_1,Rep1
Control_2,100,5,9820,30_1,Rep1
Control_2,100,6,5906,30_1,Rep1
Control_2,100,7,3748,30_1,Rep1
Control_2,100,8,8283,30_1,Rep1
Control_2,1000,1,22063,30_1,Rep1
Control_2,1000,2,10596,30_1,Rep1
Control_2,1000,3,20314,30_1,Rep1
Control_2,1000,4,20351,30_1,Rep1
Control_2,1000,5,513,30_1,Rep1
Control_2,1000,6,5924,30_1,Rep1
Control_2,1000,7,29310,30_1,Rep1
Control_2,1000,8,25815,30_1,Rep1
Decanoic_Acid,10,8,6598,30_1,Rep1
Decanoic_Acid,100,8,21020,30_1,Rep1
Decanoic_Acid,1000,8,35844,30_1,Rep1
DMSO,-999,1,3073,30_1,Rep1
DMSO,-999,2,2082,30_1,Rep1
DMSO,-999,3,1315,30_1,Rep1
DMSO,-999,4,2610,30_1,Rep1
DMSO,-999,5,2530,30_1,Rep1
DMSO,-999,6,1906,30_1,Rep1
DMSO,-999,7,3720,30_1,Rep1
DMSO,-999,8,1592,30_1,Rep1
Prenyl_Acetate,10,8,480,30_1,Rep1
Prenyl_Acetate,100,8,510,30_1,Rep1
Prenyl_Acetate,1000,8,1352,30_1,Rep1
Vanillic_Acid,10,8,996,30_1,Rep1
Vanillic_Acid,100,8,1350,30_1,Rep1
Vanillic_Acid,1000,8,892,30_1,Rep1
Pentanoic Acid,10,1,124,9_1,Rep1
Pentanoic Acid,100,1,149,9_1,Rep1
Pentanoic Acid,1000,1,671,9_1,Rep1
4-hydroxycoumarin,10,1,933,9_1,Rep1
4-hydroxycoumarin,100,1,2799,9_1,Rep1
4-hydroxycoumarin,1000,1,5206,9_1,Rep1
4-Chromanone,10,7,740,9_1,Rep1
4-Chromanone,100,7,384,9_1,Rep1
4-Chromanone,1000,7,1241,9_1,Rep1
2-Butanone,10,1,1405,9_1,Rep1
2-Butanone,100,1,1880,9_1,Rep1
2-Butanone,1000,1,1952,9_1,Rep1
2-Hexanone,10,1,2231,9_1,Rep1
2-Hexanone,100,1,1117,9_1,Rep1
2-Hexanone,1000,1,2667,9_1,Rep1
2-Heptanone,10,2,602,9_1,Rep1
2-Heptanone,100,2,1603,9_1,Rep1
2-Heptanone,1000,2,984,9_1,Rep1
3-Heptanone,10,2,401,9_1,Rep1
3-Heptanone,100,2,1251,9_1,Rep1
3-Heptanone,1000,2,1827,9_1,Rep1
2-Octanone,10,2,1120,9_1,Rep1
2-Octanone,100,2,564,9_1,Rep1
2-Octanone,1000,2,1142,9_1,Rep1
3-Octanone,10,2,1123,9_1,Rep1
3-Octanone,100,2,1254,9_1,Rep1
3-Octanone,1000,2,1414,9_1,Rep1
Propionic Acid,10,1,257,9_1,Rep1
Propionic Acid,100,1,630,9_1,Rep1
Propionic Acid,1000,1,561,9_1,Rep1
2_coumaranone,10,8,1385,9_1,Rep1
2_coumaranone,100,8,3579,9_1,Rep1
2_coumaranone,1000,8,4110,9_1,Rep1
2-Nonanone,10,2,975,9_1,Rep1
2-Nonanone,100,2,761,9_1,Rep1
2-Nonanone,1000,2,1393,9_1,Rep1
"2,3-Hexanedione",10,2,1820,9_1,Rep1
"2,3-Hexanedione",100,2,3143,9_1,Rep1
"2,3-Hexanedione",1000,2,2628,9_1,Rep1
"3,4-Hexanedione",10,2,2094,9_1,Rep1
"3,4-Hexanedione",100,2,1723,9_1,Rep1
"3,4-Hexanedione",1000,2,3286,9_1,Rep1
(-)-Carvone,10,7,804,9_1,Rep1
(-)-Carvone,100,7,479,9_1,Rep1
(-)-Carvone,1000,7,473,9_1,Rep1
(+)-Dihydrocarvone,10,2,2440,9_1,Rep1
(+)-Dihydrocarvone,100,2,1767,9_1,Rep1
(+)-Dihydrocarvone,1000,2,3515,9_1,Rep1
(+)-Camphor,10,2,2879,9_1,Rep1
(+)-Camphor,100,2,1393,9_1,Rep1
(+)-Camphor,1000,2,4144,9_1,Rep1
Dihydrojasmone,10,3,1676,9_1,Rep1
Dihydrojasmone,100,3,976,9_1,Rep1
Dihydrojasmone,1000,3,2188,9_1,Rep1
Benzophenone,10,3,1666,9_1,Rep1
Benzophenone,100,3,1096,9_1,Rep1
Benzophenone,1000,3,1321,9_1,Rep1
(+)-Pulegone,10,3,2026,9_1,Rep1
(+)-Pulegone,100,3,95,9_1,Rep1
(+)-Pulegone,1000,3,269,9_1,Rep1
Hexanoic Acid,10,1,899,9_1,Rep1
Hexanoic Acid,100,1,310,9_1,Rep1
Hexanoic Acid,1000,1,665,9_1,Rep1
Dimedone,10,3,985,9_1,Rep1
Dimedone,100,3,1940,9_1,Rep1
Dimedone,1000,3,691,9_1,Rep1
(-)-Menthone,10,3,2146,9_1,Rep1
(-)-Menthone,100,3,2481,9_1,Rep1
(-)-Menthone,1000,3,1581,9_1,Rep1
beta-ionone,10,3,2002,9_1,Rep1
beta-ionone,100,3,2181,9_1,Rep1
beta-ionone,1000,3,2019,9_1,Rep1
Pentyl acetate,10,3,1807,9_1,Rep1
Pentyl acetate,100,3,1113,9_1,Rep1
Pentyl acetate,1000,3,3163,9_1,Rep1
Allyl heptanoate,10,7,821,9_1,Rep1
Allyl heptanoate,100,7,525,9_1,Rep1
Allyl heptanoate,1000,7,796,9_1,Rep1
Amyl hexanoate,10,3,1928,9_1,Rep1
Amyl hexanoate,100,3,1702,9_1,Rep1
Amyl hexanoate,1000,3,1918,9_1,Rep1
Nonanoic Acid,10,1,695,9_1,Rep1
Nonanoic Acid,100,1,1440,9_1,Rep1
Nonanoic Acid,1000,1,1978,9_1,Rep1
Amyl butyrate,10,3,2739,9_1,Rep1
Amyl butyrate,100,3,1678,9_1,Rep1
Amyl butyrate,1000,3,1408,9_1,Rep1
Butyl heptanoate,10,4,596,9_1,Rep1
Butyl heptanoate,100,4,735,9_1,Rep1
Butyl heptanoate,1000,4,2131,9_1,Rep1
Heptyl isobutyrate,10,4,971,9_1,Rep1
Heptyl isobutyrate,100,4,1102,9_1,Rep1
Heptyl isobutyrate,1000,4,479,9_1,Rep1
Hexyl acetate,10,4,499,9_1,Rep1
Hexyl acetate,100,4,739,9_1,Rep1
Hexyl acetate,1000,4,422,9_1,Rep1
Butyl formate,10,4,773,9_1,Rep1
Butyl formate,100,4,556,9_1,Rep1
Butyl formate,1000,4,1117,9_1,Rep1
Ethyl isobutyrate,10,4,738,9_1,Rep1
Ethyl isobutyrate,100,4,1818,9_1,Rep1
Ethyl isobutyrate,1000,4,995,9_1,Rep1
1-butanol,10,4,1428,9_1,Rep1
1-butanol,100,4,1099,9_1,Rep1
1-butanol,1000,4,1340,9_1,Rep1
Isovaleric Acid,10,1,783,9_1,Rep1
Isovaleric Acid,100,1,1950,9_1,Rep1
Isovaleric Acid,1000,1,2857,9_1,Rep1
1-propanol,10,4,805,9_1,Rep1
1-propanol,100,4,740,9_1,Rep1
1-propanol,1000,4,1048,9_1,Rep1
1-hexanol,10,7,763,9_1,Rep1
1-hexanol,100,7,794,9_1,Rep1
1-hexanol,1000,7,403,9_1,Rep1
1-heptanol,10,4,494,9_1,Rep1
1-heptanol,100,4,1221,9_1,Rep1
1-heptanol,1000,4,2167,9_1,Rep1
1-octanol,10,4,1564,9_1,Rep1
1-octanol,100,4,2363,9_1,Rep1
1-octanol,1000,4,2401,9_1,Rep1
1-nonanol,10,5,90,9_1,Rep1
1-nonanol,100,5,364,9_1,Rep1
1-nonanol,1000,5,326,9_1,Rep1
1-decanol,10,5,229,9_1,Rep1
1-decanol,100,5,706,9_1,Rep1
1-decanol,1000,5,1101,9_1,Rep1
(+)-2-Heptanol,10,5,707,9_1,Rep1
(+)-2-Heptanol,100,5,840,9_1,Rep1
(+)-2-Heptanol,1000,5,413,9_1,Rep1
(+)-2-Octanol,10,5,1442,9_1,Rep1
(+)-2-Octanol,100,5,745,9_1,Rep1
(+)-2-Octanol,1000,5,109,9_1,Rep1
(-)-B-Citronellol,10,5,1554,9_1,Rep1
(-)-B-Citronellol,100,5,3058,9_1,Rep1
(-)-B-Citronellol,1000,5,2520,9_1,Rep1
Geraniol,10,5,2147,9_1,Rep1
Geraniol,100,5,1793,9_1,Rep1
Geraniol,1000,5,2412,9_1,Rep1
Linalool,10,5,2675,9_1,Rep1
Linalool,100,5,3827,9_1,Rep1
Linalool,1000,5,2937,9_1,Rep1
1-Undecanol,10,7,1476,9_1,Rep1
1-Undecanol,100,7,1766,9_1,Rep1
1-Undecanol,1000,7,1460,9_1,Rep1
Allyl phenylacetate,10,5,622,9_1,Rep1
Allyl phenylacetate,100,5,944,9_1,Rep1
Allyl phenylacetate,1000,5,2750,9_1,Rep1
Benzene,10,5,2984,9_1,Rep1
Benzene,100,5,1361,9_1,Rep1
Benzene,1000,5,1654,9_1,Rep1
Benzyl acetate,10,6,731,9_1,Rep1
Benzyl acetate,100,6,990,9_1,Rep1
Benzyl acetate,1000,6,725,9_1,Rep1
Phenyl acetate,10,6,1179,9_1,Rep1
Phenyl acetate,100,6,680,9_1,Rep1
Phenyl acetate,1000,6,915,9_1,Rep1
Octanethiol,10,6,1072,9_1,Rep1
Octanethiol,100,6,1086,9_1,Rep1
Octanethiol,1000,6,1915,9_1,Rep1
Nonanedioic Acid,10,1,3163,9_1,Rep1
Nonanedioic Acid,100,1,2208,9_1,Rep1
Nonanedioic Acid,1000,1,1269,9_1,Rep1
Nonanethiol,10,6,1481,9_1,Rep1
Nonanethiol,100,6,935,9_1,Rep1
Nonanethiol,1000,6,633,9_1,Rep1
Butanal,10,6,1002,9_1,Rep1
Butanal,100,6,1583,9_1,Rep1
Butanal,1000,6,1303,9_1,Rep1
Pentanal,10,6,1120,9_1,Rep1
Pentanal,100,6,1239,9_1,Rep1
Pentanal,1000,6,1144,9_1,Rep1
Hexanal,10,6,1680,9_1,Rep1
Hexanal,100,6,1515,9_1,Rep1
Hexanal,1000,6,975,9_1,Rep1
Heptanal,10,7,1524,9_1,Rep1
Heptanal,100,7,1626,9_1,Rep1
Heptanal,1000,7,1626,9_1,Rep1
Octanal,10,6,4402,9_1,Rep1
Octanal,100,6,2187,9_1,Rep1
Octanal,1000,6,1314,9_1,Rep1
Nonanal,10,6,1663,9_1,Rep1
Nonanal,100,6,2778,9_1,Rep1
Nonanal,1000,6,3314,9_1,Rep1
Decanal,10,7,1836,9_1,Rep1
Decanal,100,7,2098,9_1,Rep1
Decanal,1000,7,1063,9_1,Rep1
Citral,10,7,714,9_1,Rep1
Citral,100,7,555,9_1,Rep1
Citral,1000,7,3248,9_1,Rep1
Hydroxycitronellal,10,7,1879,9_1,Rep1
Hydroxycitronellal,100,7,1774,9_1,Rep1
Hydroxycitronellal,1000,7,2881,9_1,Rep1
Lyral,10,8,1126,9_1,Rep1
Lyral,100,8,1790,9_1,Rep1
Lyral,1000,8,3053,9_1,Rep1
Acetophenone,10,8,571,9_1,Rep1
Acetophenone,100,8,1439,9_1,Rep1
Acetophenone,1000,8,968,9_1,Rep1
Control_1,10,1,4389,9_1,Rep1
Control_1,10,2,956,9_1,Rep1
Control_1,10,3,2165,9_1,Rep1
Control_1,10,4,583,9_1,Rep1
Control_1,10,5,1056,9_1,Rep1
Control_1,10,6,2168,9_1,Rep1
Control_1,10,7,1426,9_1,Rep1
Control_1,10,8,738,9_1,Rep1
Control_1,100,1,2682,9_1,Rep1
Control_1,100,2,1317,9_1,Rep1
Control_1,100,3,1013,9_1,Rep1
Control_1,100,4,756,9_1,Rep1
Control_1,100,5,904,9_1,Rep1
Control_1,100,6,1269,9_1,Rep1
Control_1,100,7,1237,9_1,Rep1
Control_1,100,8,61,9_1,Rep1
Control_1,1000,1,430,9_1,Rep1
Control_1,1000,2,758,9_1,Rep1
Control_1,1000,3,546,9_1,Rep1
Control_1,1000,4,367,9_1,Rep1
Control_1,1000,5,496,9_1,Rep1
Control_1,1000,6,261,9_1,Rep1
Control_1,1000,7,485,9_1,Rep1
Control_1,1000,8,135,9_1,Rep1
Control_2,10,1,2438,9_1,Rep1
Control_2,10,2,691,9_1,Rep1
Control_2,10,3,1536,9_1,Rep1
Control_2,10,4,1487,9_1,Rep1
Control_2,10,5,1798,9_1,Rep1
Control_2,10,6,883,9_1,Rep1
Control_2,10,7,871,9_1,Rep1
Control_2,10,8,741,9_1,Rep1
Control_2,100,1,741,9_1,Rep1
Control_2,100,2,753,9_1,Rep1
Control_2,100,3,1210,9_1,Rep1
Control_2,100,4,805,9_1,Rep1
Control_2,100,5,871,9_1,Rep1
Control_2,100,6,985,9_1,Rep1
Control_2,100,7,806,9_1,Rep1
Control_2,100,8,1182,9_1,Rep1
Control_2,1000,1,1871,9_1,Rep1
Control_2,1000,2,794,9_1,Rep1
Control_2,1000,3,1052,9_1,Rep1
Control_2,1000,4,1124,9_1,Rep1
Control_2,1000,5,236,9_1,Rep1
Control_2,1000,6,349,9_1,Rep1
Control_2,1000,7,1455,9_1,Rep1
Control_2,1000,8,1077,9_1,Rep1
Decanoic_Acid,10,8,1680,9_1,Rep1
Decanoic_Acid,100,8,1125,9_1,Rep1
Decanoic_Acid,1000,8,4006,9_1,Rep1
DMSO,-999,1,1291,9_1,Rep1
DMSO,-999,2,1507,9_1,Rep1
DMSO,-999,3,1901,9_1,Rep1
DMSO,-999,4,2628,9_1,Rep1
DMSO,-999,5,1213,9_1,Rep1
DMSO,-999,6,1581,9_1,Rep1
DMSO,-999,7,2984,9_1,Rep1
DMSO,-999,8,3439,9_1,Rep1
Prenyl_Acetate,10,8,422,9_1,Rep1
Prenyl_Acetate,100,8,1292,9_1,Rep1
Prenyl_Acetate,1000,8,822,9_1,Rep1
Vanillic_Acid,10,8,2650,9_1,Rep1
Vanillic_Acid,100,8,2080,9_1,Rep1
Vanillic_Acid,1000,8,4278,9_1,Rep1
Pentanoic Acid,10,1,137,8_1,Rep1
Pentanoic Acid,100,1,403,8_1,Rep1
Pentanoic Acid,1000,1,190,8_1,Rep1
4-hydroxycoumarin,10,1,518,8_1,Rep1
4-hydroxycoumarin,100,1,1127,8_1,Rep1
4-hydroxycoumarin,1000,1,2622,8_1,Rep1
4-Chromanone,10,7,246,8_1,Rep1
4-Chromanone,100,7,475,8_1,Rep1
4-Chromanone,1000,7,727,8_1,Rep1
2-Butanone,10,1,1476,8_1,Rep1
2-Butanone,100,1,971,8_1,Rep1
2-Butanone,1000,1,1780,8_1,Rep1
2-Hexanone,10,1,2004,8_1,Rep1
2-Hexanone,100,1,786,8_1,Rep1
2-Hexanone,1000,1,814,8_1,Rep1
2-Heptanone,10,2,436,8_1,Rep1
2-Heptanone,100,2,215,8_1,Rep1
2-Heptanone,1000,2,314,8_1,Rep1
3-Heptanone,10,2,113,8_1,Rep1
3-Heptanone,100,2,560,8_1,Rep1
3-Heptanone,1000,2,449,8_1,Rep1
2-Octanone,10,2,957,8_1,Rep1
2-Octanone,100,2,264,8_1,Rep1
2-Octanone,1000,2,281,8_1,Rep1
3-Octanone,10,2,457,8_1,Rep1
3-Octanone,100,2,434,8_1,Rep1
3-Octanone,1000,2,620,8_1,Rep1
Propionic Acid,10,1,170,8_1,Rep1
Propionic Acid,100,1,316,8_1,Rep1
Propionic Acid,1000,1,291,8_1,Rep1
2_coumaranone,10,8,756,8_1,Rep1
2_coumaranone,100,8,928,8_1,Rep1
2_coumaranone,1000,8,644,8_1,Rep1
2-Nonanone,10,2,410,8_1,Rep1
2-Nonanone,100,2,330,8_1,Rep1
2-Nonanone,1000,2,1041,8_1,Rep1
"2,3-Hexanedione",10,2,741,8_1,Rep1
"2,3-Hexanedione",100,2,1134,8_1,Rep1
"2,3-Hexanedione",1000,2,1060,8_1,Rep1
"3,4-Hexanedione",10,2,881,8_1,Rep1
"3,4-Hexanedione",100,2,1657,8_1,Rep1
"3,4-Hexanedione",1000,2,1754,8_1,Rep1
(-)-Carvone,10,7,343,8_1,Rep1
(-)-Carvone,100,7,311,8_1,Rep1
(-)-Carvone,1000,7,387,8_1,Rep1
(+)-Dihydrocarvone,10,2,1250,8_1,Rep1
(+)-Dihydrocarvone,100,2,848,8_1,Rep1
(+)-Dihydrocarvone,1000,2,2294,8_1,Rep1
(+)-Camphor,10,2,1185,8_1,Rep1
(+)-Camphor,100,2,1890,8_1,Rep1
(+)-Camphor,1000,2,2581,8_1,Rep1
Dihydrojasmone,10,3,1667,8_1,Rep1
Dihydrojasmone,100,3,685,8_1,Rep1
Dihydrojasmone,1000,3,1467,8_1,Rep1
Benzophenone,10,3,2783,8_1,Rep1
Benzophenone,100,3,675,8_1,Rep1
Benzophenone,1000,3,928,8_1,Rep1
(+)-Pulegone,10,3,586,8_1,Rep1
(+)-Pulegone,100,3,135,8_1,Rep1
(+)-Pulegone,1000,3,73,8_1,Rep1
Hexanoic Acid,10,1,501,8_1,Rep1
